FMT_group	sampleType	description
hFMT123_TO_WT	fecal pellet	"Germ-free 129SvEv strain WT mice were colonized with pooled human IBD patient fecal microbiota (hFMT123, also known as h1-2-3 and HM1). Between days 14-21, fecal pellets were collected and homogenized into a slurry for subsequent FMT (1gWT FMT slurry, aka NIMM-g1). At 28 days post-colonization, mouse fecal pellets were collected and DNA extracted followed by 2x150 paired end shotgun whole metagenome sequencing (WGS) on an Illumina NovaSeq X."
1gWTinput1	fecal slurry	"Germ-free 129SvEv strain WT mice were colonized with pooled human IBD patient fecal microbiota (hFMT123, aka h1-2-3, aka HM1). Between 14-21 days post-colonization, mouse fecal pellets were collected and pooled into a slurry for subsequent FMT experiments with FMT 1gWTinput1 (aka 1gWT, aka NIMM-g1).ÊThis slurry was used to colonize subsequent germ-free WT mice. DNA was extracted from the FMT slurry (1gWTinput1) followed by 2x150 paired end shotgun whole metagenome sequencing (WGS) on an Illumina NovaSeq X."
1gWT_TO_WT	fecal pellet	"Germ-free 129SvEv strain WT mice were colonized with mouse-adapted human IBD microbiotia 1gWTinput1 (1gWT, aka NIMM-g1). From 14-21 days post-colonization, mouse fecal pellets were collected and pooled into a slurry (2gWTinput1, also known as 2gWT, aka NIMM-g2).Ê This slurry was used to colonize subsequent germ-free WT mice.Ê At day 28 post colonization, using pellets from the same mice used to form the 2gWT fecal slurry, fecal pellets were collected and DNA extracted followed by 2x150 paired end shotgun whole metagenome sequencing (WGS) on an Illumina NovaSeq X."
2gWTinput1	fecal slurry	"Germ-free 129SvEv strain WT mice were colonized with mouse-adapted human IBD microbiotia 1gWTinput1 (1gWT, aka NIMM-g1). Between 14-21 days post-colonization, mouse fecal pellets were collected and pooled into a slurry for subsequent FMT experiments with FMT 2gWTinput1 (aka 2gWT, aka NIMM-g2).ÊThis slurry was used to colonize subsequent germ-free WT mice. DNA was extracted from the FMT slurry (2gWTinput1) followed by 2x150 paired end shotgun whole metagenome sequencing (WGS) on an Illumina NovaSeq X."
2gWT_TO_WT	fecal pellet	"Germ-free 129SvEv strain WT mice were colonized with mouse-adapted human IBD microbiotia 2gWTinput1 (2gWT, aka NIMM-g2). At day 28 post colonization fecal pellets were collected and DNA extracted followed by 2x150 paired end shotgun whole metagenome sequencing (WGS) on an Illumina NovaSeq X."
		
hFMT123_TO_KO	fecal pellet	"Germ-free Il10-/- (129.IL10KO) mice were colonized with pooled human IBD patient fecal microbiota (hFMT123, also known as h1-2-3 and HM1). Between days 14-21, fecal pellets were collected and homogenized into a slurry for subsequent FMT (1gKO FMT slurry, aka IMM-g1). At 28 days post-colonization, mouse fecal pellets were collected and DNA extracted followed by 2x150 paired end shotgun whole metagenome sequencing (WGS) on an Illumina NovaSeq X."
1gKOinput1	fecal slurry	"Germ-free Il10-/- (129.IL10KO) mice were colonized with pooled human IBD patient fecal microbiota (hFMT123, aka h1-2-3, aka HM1). Between 14-21 days post-colonization, mouse fecal pellets were collected and pooled into a slurry for subsequent FMT experiments with FMT 1gKOinput1 (aka 1gKO, aka IMM-g1).ÊThis slurry was used to colonize subsequent germ-free KO mice. DNA was extracted from the FMT slurry (1gKOinput1) followed by 2x150 paired end shotgun whole metagenome sequencing (WGS) on an Illumina NovaSeq X."
1gKO_TO_KO	fecal pellet	"Germ-free Il10-/- (129.IL10KO) mice were colonized with mouse-adapted human IBD microbiotia 1gKOinput1 (1gKO, aka IMM-g1). From 14-21 days post-colonization, mouse fecal pellets were collected and pooled into a slurry (2gKOinput1, also known as 2gKO, aka IMM-g2).Ê This slurry was used to colonize subsequent germ-free KO mice.Ê At day 28 post colonization, fecal pellets were collected and DNA extracted followed by 2x150 paired end shotgun whole metagenome sequencing (WGS) on an Illumina NovaSeq X."
2gKOinput1	fecal slurry	"Germ-free Il10-/- (129.IL10KO) mice were colonized with mouse-adapted human IBD microbiotia 1gKOinput1 (1gKO, aka IMM-g1). Between 14-21 days post-colonization, mouse fecal pellets were collected and pooled into a slurry for subsequent FMT experiments with FMT 2gKOinput1 (aka 2gKO, aka IMM-g2).ÊThis slurry was used to colonize subsequent germ-free KO mice. DNA was extracted from the FMT slurry (2gKOinput1) followed by 2x150 paired end shotgun whole metagenome sequencing (WGS) on an Illumina NovaSeq X."
2gKO_TO_KO	fecal pellet	"Germ-free Il10-/- (129.IL10KO) mice were colonized with mouse-adapted human IBD microbiotia 2gKOinput1 (2gKO, aka IMM-g2). At day 28 post colonization fecal pellets were collected and DNA extracted followed by 2x150 paired end shotgun whole metagenome sequencing (WGS) on an Illumina NovaSeq X."
		
hFMT345_TO_KO	fecal pellet	"Germ-free Il10-/- (129.IL10KO) mice were colonized with pooled human IBD patient fecal microbiota (hFMT345, aka h3-4-5, aka HM2). At 28 days post-colonization, mouse fecal pellets were collected and DNA extracted followed by 2x150 paired end shotgun whole metagenome sequencing (WGS) on an Illumina NovaSeq X."
		
1gKO_TO_WT	fecal pellet	"Germ-free 129SvEv strain WT mice were colonized with mouse-adapted human IBD microbiotia 1gKOinput1 (1gKO, aka IMM-g1). At day 28 post colonization, fecal pellets were collected and DNA extracted followed by 2x150 paired end shotgun whole metagenome sequencing (WGS) on an Illumina NovaSeq X."
1gWT_TO_KO	fecal pellet	"Germ-free Il10-/- (129.IL10KO) mice were colonized with mouse-adapted human IBD microbiotia 1gWTinput1 (1gWT, aka NIMM-g1). At day 28 post colonization, fecal pellets were collected and DNA extracted followed by 2x150 paired end shotgun whole metagenome sequencing (WGS) on an Illumina NovaSeq X."
