#SampleID	BioSample	UniversalCageNumber	Background	FMTGroupFMTsource_TO_Recipientbackground	ExperimentNumber	FMT_input_2022_nomenclature	FMT_input_2024_nomenclature	FMT_input_publication_nomeclature	Sex	Agewk	SampleType
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical
1gKO	SAMN41102150	NA	NA	1gKOinput1	NA	1gKO	1gKO	IMM-g1	NA	NA	Fecal slurry in LB20 glycerol
1gKO-2	SAMN41102150	NA	NA	1gKOinput2	NA	1gKO	1gKO	IMM-g1	NA	NA	Fecal slurry in LB20 glycerol
1gWT	SAMN41102156	NA	NA	1gWTinput1	NA	1gWT	1gWT	NIMM-g1	NA	NA	Fecal slurry in LB20 glycerol
1gWT-2	SAMN41102156	NA	NA	1gWTinput2	NA	1gWT	1gWT	NIMM-g1	NA	NA	Fecal slurry in LB20 glycerol
2gKO	SAMN41102153	NA	NA	2gKOinput1	NA	2gKO	2gKO	IMM-g2	NA	NA	Fecal slurry in LB20 glycerol
2gKO-2	SAMN41102153	NA	NA	2gKOinput2	NA	2gKO	2gKO	IMM-g2	NA	NA	Fecal slurry in LB20 glycerol
2gWT	SAMN41102159	NA	NA	2gWTinput1	NA	2gWT	2gWT	NIMM-g2	NA	NA	Fecal slurry in LB20 glycerol
2gWT-2	SAMN41102159	NA	NA	2gWTinput2	NA	2gWT	2gWT	NIMM-g2	NA	NA	Fecal slurry in LB20 glycerol
F1-1	SAMN41102122	F1-cage-1	129.IL10KO	hFMT345_TO_KO	F1	h3-4-5	hFMT345	HM2input	F	15.6	fecal pellet
F1-10	SAMN41102131	F1-cage-3	129.IL10KO	hFMT123_TO_KO	F1	h1-2-3	hFMT123	HM1input	F	14.3	fecal pellet
F1-11	SAMN41102132	F1-cage-3	129.IL10KO	hFMT123_TO_KO	F1	h1-2-3	hFMT123	HM1input	F	11.4	fecal pellet
F1-12	SAMN41102133	F1-cage-4	129.IL10KO	hFMT123_TO_KO	F1	h1-2-3	hFMT123	HM1input	M	14.3	fecal pellet
F1-13	SAMN41102134	F1-cage-4	129.IL10KO	hFMT123_TO_KO	F1	h1-2-3	hFMT123	HM1input	M	14.3	fecal pellet
F1-14	SAMN41102135	F1-cage-4	129.IL10KO	hFMT123_TO_KO	F1	h1-2-3	hFMT123	HM1input	M	14.3	fecal pellet
F1-15	SAMN41102136	F1-cage-4	129.IL10KO	hFMT123_TO_KO	F1	h1-2-3	hFMT123	HM1input	M	14.3	fecal pellet
F1-16	SAMN41102137	F1-cage-5	129.WT	hFMT123_TO_WT	F1	h1-2-3	hFMT123	HM1input	M	14.9	fecal pellet
F1-17	SAMN41102138	F1-cage-5	129.WT	hFMT123_TO_WT	F1	h1-2-3	hFMT123	HM1input	M	14.9	fecal pellet
F1-18	SAMN41102139	F1-cage-5	129.WT	hFMT123_TO_WT	F1	h1-2-3	hFMT123	HM1input	M	14.9	fecal pellet
F1-19	SAMN41102140	F1-cage-6	129.WT	hFMT123_TO_WT	F1	h1-2-3	hFMT123	HM1input	F	16.4	fecal pellet
