sample_biological_replicate	Sample Name	Run	Sample Name	Library Name	SampleID	Gender	SampleNumber	CageID	Run	MouseID	Generation	AgeWeeks	Strain	GroupGenAge	GroupAge	GroupGeneration	Group	Housing	Description
fecal sample from human microbiota-associated C57BL/6NTac mice 1	3.3	SRR7722091	3.3	3_3	3.03	F	183	13	3	17	F1	10-Nov	C57BL6/NTac	A_F1_10-11	A_10-11	A_F1	A	Isolator	A_Isolator
fecal sample from human microbiota-associated C57BL/6NTac mice 1	5.3	SRR7722089	5.3	5_3	5.03	F	185	2	3	3	P	10-Nov	C57BL6/NTac	A_P_10-11	A_10-11	A_P	A	Isolator	A_Isolator
fecal sample from human microbiota-associated C57BL/6NTac mice 18	6.3	SRR7722176	6.3	6_3	6.03	F	186	3	3	1	P	17-18	C57BL6/NTac	A_P_17-18	A_17-18	A_P	A	Isolator	A_Isolator
fecal sample from human microbiota-associated C57BL/6NTac mice 19	7.2	SRR7722177	7.2	7_2	7.02	F	96	8	2	25	F1	17-18	C57BL6/NTac	A_F1_17-18	A_17-18	A_F1	A	Isolator	A_Isolator
fecal sample from human microbiota-associated C57BL/6NTac mice 3	9.3	SRR7722085	9.3	9_3	9.03	M	189	20	3	19	F1	10-Nov	C57BL6/NTac	A_F1_10-11	A_10-11	A_F1	A	Isolator	A_Isolator
fecal sample from human microbiota-associated C57BL/6NTac mice 4	14.3	SRR7722130	14.3	14_3	14.03	F	193	15	3	23	F1	10-Nov	C57BL6/NTac	A_F1_10-11	A_10-11	A_F1	A	Isolator	A_Isolator
fecal sample from human microbiota-associated C57BL/6NTac mice 20	18.2	SRR7722174	18.2	18_2	18.02	F	106	8	2	26	F1	17-18	C57BL6/NTac	A_F1_17-18	A_17-18	A_F1	A	Isolator	A_Isolator
fecal sample from human microbiota-associated C57BL/6NTac mice 21	20.2	SRR7722148	20.2	20_2	20.02	M	108	20	2	18	F1	17-18	C57BL6/NTac	A_F1_17-18	A_17-18	A_F1	A	Isolator	A_Isolator
fecal sample from human microbiota-associated C57BL/6NTac mice 5	25.4	SRR7722129	25.4	25_4	25.04.00	M	293	16	4	12	F1	10-Nov	C57BL6/NTac	A_F1_10-11	A_10-11	A_F1	A	Isolator	A_Isolator
fecal sample from human microbiota-associated C57BL/6NTac mice 22	30.3	SRR7722153	30.3	30_3	30.03.00	M	208	7	3	20	F1	17-18	C57BL6/NTac	A_F1_17-18	A_17-18	A_F1	A	Isolator	A_Isolator
fecal sample from human microbiota-associated C57BL/6NTac mice 23	34.2	SRR7722154	34.2	34_2	34.02.00	F	122	15	2	24	F1	17-18	C57BL6/NTac	A_F1_17-18	A_17-18	A_F1	A	Isolator	A_Isolator
