OTUID	IMM_g1.1	IMM_g1.2	IMM_g1.3	NIMM_g1.1	NIMM_g1.2	NIMM_g1.3	IMM_g2.1	IMM_g2.2	IMM_g2.3	NIMM_g2.1	NIMM_g2.2	NIMM_g2.3	F1.1	F1.10	F1.11	F1.12	F1.13	F1.14	F1.15	F1.16	F1.17	F1.18	F1.19	F1.2	F1.20	F1.21	F1.22	F1.3	F1.4	F1.5	F1.6	F1.7	F1.8	F1.9	F11.1	F11.10	F11.11	F11.2	F11.3	F11.4	F11.5	F11.6	F11.7	F11.8	F11.9	F2.1	F2.2	F2.3	F2.4	F2.5	F3.1	F3.10	F3.11	F3.12	F3.2	F3.4	F3.5	F3.6	F3.7	F3.8	F3.9	F4.1	F4.2	F4.3	F4.4	F4.5	F8.1	F8.10	F8.11	F8.12	F8.13	F8.14	F8.15	F8.16	F8.17	F8.18	F8.19	F8.2	F8.20	F8.21	F8.22	F8.24	F8.27	F8.28	F8.29	F8.3	F8.30	F8.31	F8.32	F8.33	F8.34	F8.35	F8.36	F8.37	F8.38	F8.39	F8.4	F8.40	F8.41	F8.5	F8.6	F8.7	F8.8	F8.9	h1.2.3.1	h1.2.3.2	h1.2.3.3	h3.4.5.1	h3.4.5.2	h3.4.5.3	taxonomy
1ba8c796d07406783c96d016a6a5cace	13615	16637	17148	20227	23630	25656	14832	14973	13992	26154	27846	29545	12256	14409	14382	8787	7694	7553	16356	19186	10727	29599	32588	3349	32950	18853	5199	9242	3157	7961	2872	10738	9576	7304	34742	28024	31911	24360	31173	45582	18929	22349	19226	18049	2039	10570	13719	609	762	327	21676	18737	17857	12650	10676	19087	11713	14477	10097	574	12959	29629	20134	27588	26741	25644	3339	24742	31312	13542	4593	10228	14477	23819	22743	21056	14181	15223	14689	9936	20152	20359	21313	6113	24573	11423	19347	18028	10482	11761	23089	23716	26435	13911	32356	18934	18205	23958	18944	12486	10761	9339	466	23451	1483	1515	1402	788	945	806	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia
a6c38249aff7768283faf6cfbdeb05a8	26439	30129	19743	8955	10759	7074	18489	18178	9122	487	298	403	7042	26719	5701	15715	25125	8515	4916	2938	6816	3233	1118	6755	1710	1047	2202	3875	28660	682	2325	23565	21707	12802	410	505	361	434	376	376	370	337	663	555	13968	10457	5758	14645	524	8953	446	22887	20446	33188	30018	10339	2258	31397	35102	51633	31840	3687	6998	6904	7796	4011	10283	14203	27872	26539	12663	13720	23316	14430	8894	5902	12469	6602	21896	25447	17821	6911	300	972	397	9314	332	573	825	1995	329	537	320	362	473	1848	13651	258	282	8789	16118	12045	13841	8030	1129	691	725	1867	1836	1289	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Ruminococcus]_gnavus_group
062f38ff92cfaee0654200b6f5be5ddf	7451	8774	8754	174	214	148	21958	22435	17629	221	152	77	2710	17570	34094	18922	19204	44025	1024	9072	10348	5289	176	7722	196	207	269	5262	220	267	505	33299	13739	53077	129	110	241	291	167	282	412	190	201	80	20662	2732	1955	4248	1454	16373	207	189	182	244	3524	27372	53140	9594	1328	91	2203	1627	37042	23825	26508	30376	41532	22616	4603	28535	20096	20133	14650	24062	211	226	85	40602	69	159	179	147	135	243	197	52337	193	99	207	237	172	254	238	146	225	135	11038	189	66	16781	8926	25758	31166	19653	2927	3523	3254	1123	1354	1373	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella
1183cc23f552d81e63c93ca9fcba2f2c	225	223	184	13762	16856	18692	269	153	230	18419	20399	21089	994	238	219	205	255	272	377	247	258	275	18297	3177	22544	19687	21014	1138	781	280	448	203	348	363	25848	23433	23208	26231	19490	22181	18524	12915	26144	18508	329	448	7615	277	753	575	21289	134	221	290	285	285	364	213	137	315	305	275	198	213	271	172	240	344	300	269	257	330	249	226	13968	20300	17078	276	24443	25531	7986	18657	21071	16272	27247	331	21302	26135	23762	22465	11455	20177	11798	13910	13422	24886	302	20107	18889	341	231	226	306	266	298	231	238	943	1059	897	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides
5e15ecfb579e72bf87c0bea3920bbf42	10108	12117	8633	10027	11910	7424	5979	4360	2762	2446	1550	1249	2348	8230	1287	11346	13195	4206	3290	2389	3858	1904	3904	525	2928	5286	4884	994	1093	1202	2512	1144	6973	666	1416	6890	1661	2031	1899	2725	2679	1920	4746	2376	750	4882	102	3443	21515	3367	2442	3811	1155	28938	26064	5342	2045	7786	34960	13573	4109	8891	3718	9188	4419	8315	1806	6143	12353	2229	6367	11645	9607	10622	12426	8745	10882	6778	735	8063	9911	11068	2245	5227	5760	6725	1189	2327	14279	7911	4360	10659	3839	3613	5501	13735	12734	2324	12215	3901	10948	10347	1234	6490	218	160	111	140	165	124	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Hungatella
af1f1b4fbac663c7f7becabe2f2d9a62	6203	7469	5595	11702	13737	9475	6687	6792	3521	19520	12951	12551	3965	6471	418	4304	2508	1800	10643	25923	23905	14559	10687	1913	20787	19457	29314	3074	2823	539	905	810	2683	334	4306	17934	7763	3751	9209	6056	13003	8148	20919	12712	813	3463	3198	3203	2521	1076	12306	3677	3990	4971	2983	2741	2329	2926	4730	12443	3843	2886	1287	2519	1628	1612	132	992	4264	319	211	1851	2824	744	3719	4277	2830	983	2513	5112	5052	2451	6286	4342	8021	1380	5189	7605	5861	5639	15170	7481	6263	8757	10569	3227	3238	1745	4051	1651	4624	2245	690	1341	336	303	260	176	167	163	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia
cb533cc9b4681d342a922dc753d23d57	2651	3108	2109	4021	4688	3093	1847	1307	937	8660	5274	5223	685	5798	324	2996	2599	1028	5997	10195	7933	15987	10111	1683	4165	4433	6193	1129	2929	1149	2000	576	1153	600	3750	5080	6180	4746	6963	5162	5406	5875	3664	5034	154	5203	6708	1703	5829	3641	12307	2434	3902	312	489	1892	656	671	387	3041	3303	2772	737	2494	578	1482	766	2118	3488	538	217	198	1147	1876	2776	1893	3223	1708	2190	4903	3871	4929	13084	7253	4761	507	6068	5682	5023	6511	9436	7429	7506	17108	13446	830	3283	5800	3053	630	445	2598	333	676	1381	802	825	681	738	495	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnoclostridium
3536877cfc5fc9fabcf77266c420a378	0	0	0	5887	7015	7672	0	111	0	7744	8802	9241	833	0	0	116	128	0	0	0	137	167	8120	1791	9834	8368	9126	1391	394	152	210	153	0	0	11391	10029	10478	12028	8672	9525	7942	5621	11685	8180	0	201	3181	0	313	232	9379	118	138	170	125	0	0	112	108	0	0	0	0	0	0	107	0	0	0	167	145	0	0	0	6335	9138	7590	0	11126	11719	3599	8246	8998	7441	12280	0	9581	11883	10646	9688	5359	9099	5758	6333	6174	11792	0	8522	8336	0	0	145	0	0	162	94	143	459	526	418	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides
897cc896c786afb6513503d17d6ebcbe	1050	1241	1270	295	488	461	2699	2774	2485	38	38	44	60	4313	7996	2516	2275	893	1759	2712	2360	1711	46	52	95	55	58	95	59	97	70	27637	2093	3646	61	68	39	99	30	100	69	64	86	74	39912	129	58	211	77	75	151	1838	2400	1194	3001	5547	2388	19856	1332	3485	2336	1423	3563	1014	3062	2350	3841	7232	8821	8800	57144	18531	4957	6013	4502	46	696	3112	40	50	8927	109	84	73	58	6309	39	76	61	53	88	72	73	67	110	80	8476	85	47	2389	6767	5709	4901	1336	118	50	61	69	97	88	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_sensu_stricto_1; s__Clostridium_paraputrificum
cd40e8fb0a79239f9f3f921d6b6a4b4b	1811	2201	2461	448	573	572	4377	4668	4080	2542	2761	3044	444	5493	4352	8836	5039	8648	1912	5737	2899	4364	2267	355	2808	1566	2480	275	210	608	940	3812	4176	2141	4358	3869	4171	4459	2208	2248	3824	2507	3189	2940	375	222	349	381	982	978	3723	87	73	95	3281	10414	7175	9010	51	62	114	11754	6578	6576	4773	9833	766	9295	3768	621	1763	3003	4182	5153	5543	4048	3064	3277	1976	1682	1387	1997	2728	1969	4353	4931	2904	4029	3422	2270	2331	3384	1927	2478	2450	2969	3248	1711	1516	2084	720	4288	855	7874	122	147	135	159	192	192	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__Alistipes_finegoldii
47c5ed90cefbb3b9576593586e271039	3111	3790	3975	3617	4381	4779	3975	4062	3479	3729	3818	3864	2659	3092	1215	5254	3688	5371	2141	2596	2693	793	1175	3957	2192	3593	1041	2378	2200	1339	746	619	3525	1764	3109	4832	2238	3042	3481	3469	1373	1613	703	2833	419	1751	2161	1274	2015	1005	3390	3120	2280	1525	1059	2789	1888	813	1609	1160	3335	3875	4391	4506	6755	3212	1977	4614	5900	3152	1305	1152	3175	5405	5625	5054	4965	4645	1621	1117	4078	4851	2969	1960	2713	2008	2538	2022	4608	3884	3665	4434	3511	3638	6558	3358	7443	2703	5375	2322	2806	2342	880	2916	692	661	619	101	98	106	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnoclostridium
967efeab3bbf1115d48e6424cd83dc56	4342	4978	5044	1396	1684	1880	9354	9343	7910	2119	2522	2955	5028	4613	1373	1146	5196	5515	4835	4478	5695	2616	1422	8114	3795	3147	5367	3251	11301	2307	6470	1914	2645	285	1073	2244	628	920	2800	1142	2207	737	3180	1672	627	1380	1231	7202	510	1404	2033	3396	3360	2668	1780	2894	1172	2372	754	5609	5295	4982	771	4893	2364	2666	64	46	1988	4675	445	2936	3756	1473	3305	1654	4114	612	621	758	4791	2772	996	750	1662	932	1023	1209	721	1187	2630	1175	1591	1533	1546	1013	5420	628	1822	1881	6015	2444	359	264	2048	2700	2566	4774	5230	4838	d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella
913c627e07f3126d9af110ead52c4d40	3903	5062	4051	3882	4863	5657	2714	2743	2534	2345	2700	2995	4617	3652	1056	1094	3331	1227	1920	5762	9669	805	1708	1702	5668	3174	3138	2007	2766	2149	508	124	11708	25	1332	3510	955	1047	829	863	1962	1119	4696	2681	585	1981	2373	3431	1350	1412	2211	3053	2744	188	4224	1635	166	3704	6260	8484	8247	567	194	1618	998	581	41	264	5177	99	69	485	1285	184	4032	3721	9058	144	2213	4177	5668	5290	3696	4112	3737	901	865	2079	2290	3361	6413	6228	2666	3394	3494	2716	1325	1134	4270	594	4914	1689	214	292	192	215	206	126	149	109	d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__[Clostridium]_innocuum_group
fea96cd76dd9dbd203abef7ab26e0863	58	68	70	0	49	78	99	124	65	64	33	0	22325	76	80	58	24	155	0	89	0	0	28	37713	170	23	132	28500	7847	14516	7168	51	0	170	53	38	0	72	146	102	114	36	116	52	58	24997	40233	26937	27447	20419	53	77	128	63	0	75	103	52	96	0	102	77	179	98	155	0	88	176	115	38	70	102	57	189	71	121	32	42	26	96	82	99	68	79	97	77	108	54	99	60	0	121	56	0	51	63	195	46	61	45	96	0	81	100	6076	7207	7221	626	741	646	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
f2e6dd6892d6f0e09c3e35fdc9914159	481	497	590	523	719	663	1457	1450	1227	1142	1212	1423	54	1426	1214	2913	2255	988	2892	965	264	2791	1178	50	2154	212	126	51	51	45	34	1236	3355	111	6005	2992	2461	6141	4840	5841	2817	2908	3923	3485	1215	16	55	34	18	42	4199	3067	2933	2233	1163	5499	3706	1997	1202	1239	4432	6234	10792	7535	7708	5998	3273	3655	8212	5409	934	1448	2780	3124	5491	3417	6645	6009	644	118	2972	2834	1912	950	2190	7138	2578	3897	840	907	1739	1306	1337	3325	2978	840	5957	726	2979	1782	3993	4594	5359	3575	362	515	493	35	45	26	d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Clostridioides
03417e3dbd0b3a8e9d8890a52c4ad6f1	3963	5130	4887	3034	4095	4398	6256	6309	4662	2238	2133	2447	34	2040	503	3490	1840	5296	2552	4204	4912	3751	965	31	2801	3343	2399	41	40	34	39	5582	2604	1447	1153	3057	1057	1662	1530	1575	2603	907	4127	2901	1012	2897	2128	1995	561	1396	1355	1413	1971	1262	1812	1630	2179	749	1678	4074	2157	2662	1498	2494	2319	2597	1579	1369	2546	2108	4782	5774	3785	1977	3387	2593	3940	1848	1049	684	7091	2752	1241	1698	2317	4253	1617	1557	1488	1985	3847	2348	2372	1279	2594	3322	5109	1187	4952	1242	3473	3600	2317	1245	135	127	156	55	50	36	d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelatoclostridiaceae; g__Erysipelatoclostridium
e862050eac2a57e9456a35559c9026ad	773	601	644	488	532	636	2672	2826	2386	107	86	38	62	1427	166	37	85	52	58	52	105	86	59	29	92	97	52	61	63	53	57	308	5337	3658	73	68	87	114	51	29	111	46	65	43	446	78	56	43	64	73	37	1398	1825	133	51	1171	16446	55	3129	924	2460	563	2591	827	2804	2104	32043	13787	5187	5853	143	81	3648	5258	4119	53	8079	20925	26	43	696	60	20	70	47	47	52	52	64	117	26	59	76	34	70	39	58	69	44	2326	4170	18184	18596	946	508	600	653	952	1063	1068	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_sensu_stricto_1
c4b172bb1bbf2ac2f38a36039ad44f65	1738	2186	2264	60	64	25	8489	8377	7215	62	39	0	137	2542	92	9864	4675	12470	724	31	68	56	42	171	69	61	103	118	89	83	61	120	2133	848	0	32	69	93	51	71	98	40	84	0	116	0	161	87	30	70	60	2341	2174	49	747	6128	6525	485	35	0	1684	11599	13234	5547	8235	8950	2498	3835	4858	1509	86	84	6215	6906	91	57	0	3449	13	28	25	62	53	82	26	7578	61	18	24	62	40	88	74	37	71	64	9887	57	0	3328	3497	4167	4739	5435	51	74	55	0	0	29	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_sensu_stricto_13; s__Clostridium_sp.
c62a75321c19bd775ad89685e04083c2	471	581	387	502	688	434	106	144	89	893	579	628	56	63	48	75	137	79	7032	7547	3879	7621	2900	52	8824	8977	10637	81	72	0	79	132	92	82	3421	1609	4307	5762	1655	5858	848	2042	527	4367	0	51	49	76	61	72	6330	50	81	0	60	0	81	0	0	69	102	83	0	84	72	97	40	130	217	65	158	0	151	65	71	101	78	62	2900	44	286	125	21732	20398	8441	81	8983	4940	74	117	5612	1224	4777	1593	2915	250	43	13290	88	108	57	128	0	174	123	48	54	56	46	88	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_NK4A136_group; s__Lachnospiraceae
dcc0783d6374c4c737ef82b0fd16331c	1409	1669	1263	2390	2823	1909	2408	2320	1238	3019	1847	1812	39	1435	234	6346	3228	3036	816	1329	1919	1360	439	53	452	4206	429	49	46	38	38	442	457	912	4718	1817	2218	3948	4044	3590	2413	1051	1182	3840	93	30	49	42	42	52	1288	372	178	2711	737	1511	1239	624	583	1244	50	6665	1389	3728	3417	3311	344	3114	4635	997	611	1119	3231	2709	4327	3241	2919	3250	1049	1098	5257	1512	936	477	3476	1067	2561	1909	5166	1289	1202	1824	2553	942	4236	2765	6751	825	1347	1560	1087	3056	92	3903	157	108	75	46	61	36	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Eisenbergiella
