OTUID	IMM_g1.1	IMM_g1.2	IMM_g1.3	NIMM_g1.1	NIMM_g1.2	NIMM_g1.3	IMM_g2.1	IMM_g2.2	IMM_g2.3	NIMM_g2.1	NIMM_g2.2	NIMM_g2.3	F1.1	F1.10	F1.11	F1.12	F1.13	F1.14	F1.15	F1.16	F1.17	F1.18	F1.19	F1.2	F1.20	F1.21	F1.22	F1.3	F1.4	F1.5	F1.6	F1.7	F1.8	F1.9	F11.1	F11.10	F11.11	F11.2	F11.3	F11.4	F11.5	F11.6	F11.7	F11.8	F11.9	F2.1	F2.2	F2.3	F2.4	F2.5	F3.1	F3.10	F3.11	F3.12	F3.2	F3.4	F3.5	F3.6	F3.7	F3.8	F3.9	F4.1	F4.2	F4.3	F4.4	F4.5	F8.1	F8.10	F8.11	F8.12	F8.13	F8.14	F8.15	F8.16	F8.17	F8.18	F8.19	F8.2	F8.20	F8.21	F8.22	F8.24	F8.27	F8.28	F8.29	F8.3	F8.30	F8.31	F8.32	F8.33	F8.34	F8.35	F8.36	F8.37	F8.38	F8.39	F8.4	F8.40	F8.41	F8.5	F8.6	F8.7	F8.8	F8.9	h1.2.3.1	h1.2.3.2	h1.2.3.3	h3.4.5.1	h3.4.5.2	h3.4.5.3
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	11370	14120	14648	16632	19817	21706	12356	12773	12163	21894	24077	25454	10401	11460	10562	6795	6439	6312	13082	15919	8878	24531	27677	2753	27827	15806	4033	7914	2398	6595	2313	8869	8035	5953	29188	23751	26659	20550	26243	37378	15968	19062	15971	15538	1496	8957	10961	344	460	63	17605	15735	14058	10445	8824	16088	9737	11518	8445	319	10551	24109	16317	23844	22240	22298	2627	20110	26262	11206	3643	8550	12097	20342	18050	17521	11918	12243	12473	8386	17118	16749	17567	4943	20726	9359	16479	15509	8376	9739	19022	20081	21965	11552	26979	15593	15303	19681	15660	2569	9064	7727	143	20057	1056	1157	1058	527	654	461
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gnavus_group	22545	25836	17048	7547	9272	5996	18616	18212	9228	366	175	221	7133	27427	4496	12442	22199	7442	4318	2613	5971	2960	960	7051	1390	943	2053	3523	26054	524	2105	19991	23011	12533	225	326	187	249	244	199	278	209	484	369	11615	10749	5732	14621	319	9372	292	20382	17233	27241	25296	9605	2068	25952	34435	43961	31682	3552	6985	6857	8085	4026	10750	11992	27744	26670	12406	11512	22474	14722	8376	5703	13331	7020	18523	21521	14890	5379	175	747	315	8879	199	328	710	1968	179	374	113	200	254	1864	13698	88	117	3266	16351	12692	13986	7689	878	471	559	1417	1342	963
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	5919	6481	6714	31	31	30	16072	16928	14639	35	22	9	2132	12486	18793	13233	14613	32605	675	6722	7590	3551	24	5867	50	39	63	4116	54	87	284	24450	10453	39194	23	0	54	59	29	49	111	39	43	0	15041	2194	1425	3296	1071	13246	40	34	27	51	2810	20375	38880	6836	978	13	1555	1158	26515	18156	19808	23320	30563	16134	3625	21352	14737	14845	10692	18388	35	50	11	28879	0	35	44	32	19	56	34	38922	47	18	66	45	20	64	55	14	41	14	8123	26	0	2400	7217	19121	23147	14847	2263	2775	2672	896	1072	980
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella	8134	9827	7090	8264	10100	6324	4976	3549	2319	2042	1295	1045	1965	6491	986	8890	10948	3644	2698	1990	3261	1511	3323	394	2626	4522	4000	779	828	929	1973	886	5723	480	1145	5739	1345	1699	1578	2214	2293	1618	3910	2002	570	4084	39	2827	17547	2891	1952	3168	900	23043	20829	4524	1738	6522	28326	10652	3300	7172	2984	7713	3631	7010	1440	5087	10015	1827	5074	9391	7858	8769	9784	7060	9033	5601	559	6539	8052	8794	1827	4293	4790	5679	965	1960	11684	6630	3630	8678	3211	2961	4653	11311	10554	1853	9981	1701	8998	8508	944	5406	206	132	114	64	63	31
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	6280	7649	5719	9715	11851	8047	5680	5863	2991	17077	11161	10687	4785	5444	384	3389	2020	1481	8495	22216	20435	11914	9166	1982	17805	16548	24392	3119	2274	41521	49604	655	2478	205	3717	16101	6844	3785	8334	5362	11049	7103	17772	11248	680	3306	3350	3278	2247	1094	10538	3886	3693	3755	2268	2403	1978	2505	3647	10380	3639	2330	1026	2151	1346	1347	56	859	3460	198	96	1567	2333	601	3137	3508	2460	739	2018	4163	4288	2016	5140	3570	6946	1149	4622	7207	4830	4786	12881	6252	5577	7567	9875	2568	2711	1396	3346	789	3871	1824	538	1127	9318	6170	6328	15902	16483	11826
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium	5804	6914	5906	8176	9908	8177	6049	5537	4381	15633	10776	10713	8126	8777	2973	8858	6320	5938	8360	14161	12531	18585	13363	5754	7704	14042	9026	5048	5064	3226	2520	3200	5813	2766	11490	14301	10820	11592	13901	12141	10944	9327	7790	11963	1281	7493	8963	4478	8077	4611	19169	5738	6146	1468	2425	5510	3887	1994	2337	5537	6292	8199	4788	7864	7332	5702	2510	7571	9495	3591	2827	4726	4943	8320	10281	9832	10211	6330	4209	5718	10401	11776	17811	9796	10716	4166	10777	10650	11346	12615	15595	14160	12724	25457	25303	8977	11595	10286	12499	1139	3603	5191	1229	4588	2778	2313	2316	2011	2085	1723
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1	1633	1643	1811	604	807	923	4924	5280	4648	35	27	9	25	5430	6447	2008	2016	732	1460	2313	2011	1471	0	26	40	29	0	49	0	20	0	23694	7274	6776	0	31	34	40	0	0	0	0	0	0	34129	88	25	157	23	16	60	3154	4108	1330	2585	6002	18453	16660	4186	3920	4385	1644	5390	1678	5386	4183	35034	19777	12739	13547	47986	15801	7836	10672	7597	0	8722	23074	12	22	8457	70	0	25	18	5320	0	23	29	0	32	0	27	29	0	47	7355	0	12	1743	10105	23422	22746	2158	479	526	581	863	1017	1020
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	1533	1868	2079	355	443	476	3696	4059	3541	2126	2403	2702	388	4502	3206	7128	4406	7469	1530	4937	2451	3718	1908	323	2479	1290	2021	228	171	533	816	3206	3580	1818	3815	3367	3612	3892	1856	1915	3281	2178	2758	2577	270	1439	318	386	2515	887	3133	20	0	0	2784	8939	6214	7419	0	0	39	9865	5512	5757	4119	8699	629	7686	3281	482	1469	2538	3557	4479	4629	3477	2603	2701	1761	1473	1197	1664	2295	1614	3824	4204	2559	3548	2945	1923	1941	2864	1597	2041	2054	2554	2748	1395	1251	421	582	3668	664	6825	87	104	115	162	211	218
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Clostridium]_innocuum_group	3043	4007	3266	2953	3852	4521	2113	2190	2055	1765	2150	2398	3631	2692	727	770	2606	945	1437	4490	7499	912	1302	1322	4372	2426	2287	1582	2062	1727	371	64	9216	0	996	2731	702	787	629	650	1524	865	3531	2069	423	1547	1768	2616	1033	1095	1611	2348	1997	111	3218	1238	103	2666	4626	6504	6211	418	130	1275	766	455	11	169	3959	30	10	338	968	125	2902	2828	6923	73	1717	3288	4459	4062	2872	3079	2915	682	683	1620	1665	2556	4898	4890	2011	2591	2693	2027	1016	840	3303	145	3889	1298	131	234	330	500	457	527	612	513
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Clostridioides	348	348	448	367	552	514	1108	1100	984	878	971	1090	7	1028	878	2141	1713	721	2193	769	180	2120	889	11	1679	144	73	0	9	0	0	913	2634	61	4601	2228	1931	4778	3772	4399	2210	2345	3014	2741	947	0	13	0	0	0	3181	2400	2179	1644	835	4283	2908	1495	924	943	3418	4742	8263	5887	5971	4819	2572	2732	6338	4165	692	1080	2178	2489	4059	2664	5134	4552	475	80	2353	2128	1472	672	1717	5495	1982	3044	650	699	1345	959	1024	2506	2291	592	4626	545	2255	470	3104	3624	4119	2874	268	408	366	0	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium	3088	4010	3849	2266	3194	3450	4833	4914	3698	1720	1702	1944	0	1451	342	2559	1378	4095	1873	3233	3824	2854	758	0	2139	2581	1726	0	9	0	0	4140	1981	1089	878	2341	798	1279	1152	1152	2039	674	3156	2266	716	2261	1566	1494	401	1053	993	1083	1411	968	1368	1249	1606	528	1328	3227	1630	1979	1091	1975	1764	2052	1144	1018	1978	1614	3573	4397	2875	1548	2489	1973	2948	1364	804	516	5640	2044	945	1265	1807	3204	1243	1214	1090	1471	2871	1826	1827	949	2004	2481	3994	898	3787	197	2722	2783	1776	981	110	96	131	48	56	22
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_13	1752	2131	2297	0	0	0	8564	8446	7438	0	0	0	85	2453	60	9440	4737	12698	743	0	0	0	11	109	21	0	38	67	33	0	14	69	2197	807	0	0	0	28	27	0	31	0	31	0	56	0	108	0	0	19	0	2331	2093	17	700	6259	6632	465	0	0	1634	11501	13020	5673	8378	9292	2471	3783	4929	1464	26	0	6241	7111	21	19	0	3280	0	0	0	18	12	0	0	7592	0	0	7	24	0	27	19	0	17	0	10038	0	0	1052	3547	4091	4681	5513	0	0	14	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella	1652	1995	1412	2726	3288	2252	2015	1983	1041	2567	1606	1541	479	3449	822	5115	2729	2668	648	1139	1677	1100	365	29	382	3669	347	189	113	312	399	550	2314	827	3958	1581	1889	3417	3434	3033	2090	880	1050	3213	180	372	218	187	1296	309	1106	4051	2893	2248	726	1895	1346	1536	459	1026	2102	5551	1161	3235	2868	2877	283	2602	3900	856	462	930	2765	2317	3589	2681	2516	2702	846	1122	4479	1267	769	401	2959	907	2199	1653	4291	1093	1028	1535	2184	760	3582	2386	5702	676	1167	572	897	2648	47	3380	261	183	191	365	355	224
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group	613	695	493	627	876	550	113	164	88	1222	806	770	17	0	0	57	147	24	9301	9802	5138	9623	3903	0	11515	11887	13518	34	32	0	0	36	351	0	4636	2164	5782	7840	2234	7664	1160	2886	686	6037	0	0	23	0	0	0	8094	0	0	0	0	0	43	0	0	0	0	27	0	26	32	0	0	42	282	0	49	0	84	0	0	70	0	0	3780	17	396	141	28719	27114	11434	0	11924	6597	52	114	7351	1687	6529	2070	4049	248	0	17474	46	33	0	70	0	177	435	225	243	81	92	61
