TaxaName	IMM_g1.1	IMM_g1.2	IMM_g1.3	NIMM_g1.1	NIMM_g1.2	NIMM_g1.3	IMM_g2.1	IMM_g2.2	IMM_g2.3	NIMM_g2.1	NIMM_g2.2	NIMM_g2.3	F1.1	F1.10	F1.11	F1.12	F1.13	F1.14	F1.15	F1.16	F1.17	F1.18	F1.19	F1.2	F1.20	F1.21	F1.22	F1.3	F1.4	F1.5	F1.6	F1.7	F1.8	F1.9	F11.1	F11.10	F11.11	F11.2	F11.3	F11.4	F11.5	F11.6	F11.7	F11.8	F11.9	F2.1	F2.2	F2.3	F2.4	F2.5	F3.1	F3.10	F3.11	F3.12	F3.2	F3.4	F3.5	F3.6	F3.7	F3.8	F3.9	F4.1	F4.2	F4.3	F4.4	F4.5	F8.1	F8.10	F8.11	F8.12	F8.13	F8.14	F8.15	F8.16	F8.17	F8.18	F8.19	F8.2	F8.20	F8.21	F8.22	F8.24	F8.27	F8.28	F8.29	F8.3	F8.30	F8.31	F8.32	F8.33	F8.34	F8.35	F8.36	F8.37	F8.38	F8.39	F8.4	F8.40	F8.41	F8.5	F8.6	F8.7	F8.8	F8.9	h1.2.3.1	h1.2.3.2	h1.2.3.3	h3.4.5.1	h3.4.5.2	h3.4.5.3
Unassigned;__	71	103	140	57	91	164	96	98	125	151	196	196	57	76	30	148	91	154	99	140	211	168	73	29	65	102	49	64	9	83	34	68	93	38	96	110	110	136	79	127	64	71	55	156	43	18	10	29	17	50	65	96	70	158	98	157	58	99	166	182	78	207	128	127	71	178	16	92	185	51	12	106	104	149	74	90	66	40	45	86	96	69	115	107	170	59	93	186	113	119	124	94	109	54	132	71	153	35	65	9	38	63	33	157	43	96	63	5	12	19
d__Bacteria;__	0	0	3	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	3	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	3	0	0	0	0	0	8	0	0	0	0	0	0	0	0	5	2	0	0	2	0	0	0	0	0	2	0	0	0	2	0	3	0	0	0	0	0	2	0	0	0	0	3
d__Bacteria;p__Actinobacteriota	6461	8378	9273	1578	2000	2305	1609	1666	1612	2114	2471	2803	2274	906	5844	1027	1548	2047	1351	3328	4311	1784	1789	1353	2631	3083	2515	1454	1256	949	1712	6244	852	459	729	2900	473	716	1404	969	1729	824	1898	2152	16391	1243	455	2463	682	727	1798	1002	425	4471	9259	1063	623	11601	468	1341	1433	1267	338	1601	923	1663	114	128	808	1494	281	1297	1247	921	865	759	1537	378	783	726	2045	1104	981	515	1313	738	787	1448	552	772	2651	1554	1505	1925	2299	888	2289	440	1409	14	1465	973	226	252	4550	6128	6106	11881	14939	14382
d__Bacteria;p__Bacteroidota	1533	1899	2098	620	498	530	3713	4059	3584	2183	2888	2759	50354	4561	3218	7128	4406	7526	1530	4937	2451	3718	2011	43381	3125	1305	2030	46380	35776	49107	30428	3206	3580	1875	4204	3849	4051	4513	1983	2000	3671	2226	3268	3049	292	41114	42956	33287	51465	31029	3202	40	0	0	2784	8991	6214	7419	39	0	82	9892	5567	5788	4164	8699	656	7784	3308	482	1469	2602	3557	4526	4645	3785	2633	2701	2419	2031	1236	1674	2398	1732	3961	4204	3144	4209	3085	1951	2009	3270	1833	2071	2118	2689	2833	1522	1510	421	611	3668	685	6831	22307	25931	26113	1898	2159	1830
d__Bacteria;p__Campilobacterota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	8	13	0	0	0
d__Bacteria;p__Cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
d__Bacteria;p__Desulfobacterota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	44	28
d__Bacteria;p__Firmicutes	64435	76675	60703	59473	74730	63335	68061	66232	46318	60089	46361	47578	53347	76848	22631	70576	74384	50828	60064	79784	84825	70291	44322	32598	59963	70678	74985	40372	49561	59649	62883	60682	83271	48239	56669	69102	47527	64311	59013	52427	57308	38644	63300	67239	53701	36144	31142	53667	56515	38640	67189	82000	79296	85730	67204	60088	65852	67483	88950	110197	108094	54303	49975	53936	55572	52034	67870	62953	96357	62770	75831	54386	66677	65846	65348	50372	71747	59702	46937	51855	76691	53703	73251	58724	70501	46090	54499	58474	58120	46645	67763	57368	48058	62633	83391	48741	80137	41949	54254	13910	77667	71112	60619	40449	71546	68137	68024	82451	86306	78838
d__Bacteria;p__Fusobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	2055	0	0	0	0	0	0	0	0	0	0	3545	0	0	0	2925	87	1782	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7651	3052	2820	1372	3803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	404	378	251	280	238
d__Bacteria;p__Patescibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	8	21	17	25
d__Bacteria;p__Proteobacteria	7523	8625	8806	38	48	41	19685	20593	17699	42	22	20	2132	12505	18798	16655	19557	35098	11146	6785	7655	3569	30	5874	90	97	89	4134	3556	2769	392	24465	10455	39223	29	10	66	63	39	62	122	41	55	9	15518	3087	1437	3322	1146	13288	45	34	30	51	7013	24276	40054	9605	978	18	1563	3291	29943	21154	19808	23320	30563	16145	12434	23819	14737	14849	11910	20872	35	50	11	28882	0	38	44	32	22	56	34	38933	51	18	66	45	20	64	62	14	45	14	8123	42	5	2400	7217	19121	23147	14847	3473	4230	4150	1138	1328	1265
d__Bacteria;p__Verrucomicrobiota	11370	14120	14648	16632	19817	21706	12356	12773	12163	21894	24077	25454	10401	11460	10562	6795	6439	6312	13082	15919	8878	24531	27677	2753	27827	15806	4033	7914	2398	6595	2313	8869	8035	5953	29188	23751	26659	20550	26243	37378	15968	19062	15971	15538	1496	8957	10961	344	460	63	17605	15735	14058	10445	8824	16088	9737	11518	8445	319	10551	24109	16317	23844	22240	22298	2627	20110	26262	11206	3643	8550	12097	20342	18050	17521	11918	12243	12473	8386	17118	16749	17567	4943	20726	9359	16479	15509	8376	9739	19022	20081	21965	11552	26979	15593	15303	19681	15660	2569	9064	7727	143	20057	1056	1157	1058	527	654	461
d__Eukaryota;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
