# Constructed from biom file
#OTU ID	F31-1	F31-2	F31-3	F31-4	F31-5	F31-6	F31-7	F31-8	F31-9	h3-4-5	taxonomy
fea96cd76dd9dbd203abef7ab26e0863	72080.0	66545.0	95348.0	26436.0	82645.0	50337.0	47648.0	44639.0	58007.0	354.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
1ba8c796d07406783c96d016a6a5cace	28831.0	12261.0	23825.0	9699.0	18891.0	30406.0	25419.0	2529.0	19055.0	1110.0	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia
714364750b603a34a14bc7a6a509be9d	24269.0	19996.0	5376.0	4796.0	15236.0	10202.0	13473.0	2289.0	11817.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides
f4174eb03ae26bd4cdedfdd5dd32ad72	340.0	97.0	2496.0	3561.0	11343.0	7946.0	20930.0	13433.0	28340.0	692.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Ruminococcus; s__Ruminococcus_bicirculans
7d71914fe277db236ab0c75b8ca89346	253.0	448.0	5266.0	9431.0	17854.0	6449.0	2408.0	16275.0	4070.0	13052.0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium
03417e3dbd0b3a8e9d8890a52c4ad6f1	5968.0	7252.0	12450.0	2785.0	8905.0	5508.0	3210.0	7769.0	8634.0	8.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelatoclostridiaceae; g__Erysipelatoclostridium
2d865a7752a4643a50993d55232dd059	2709.0	626.0	16838.0	1689.0	9526.0	11036.0	8399.0	10139.0	0.0	1341.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Agathobacter
af1f1b4fbac663c7f7becabe2f2d9a62	491.0	6373.0	6825.0	2127.0	13564.0	7775.0	8650.0	2612.0	12491.0	29.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia
1973c5e737d576c0b18e1ab663b51fca	84.0	314.0	3390.0	4386.0	10896.0	7867.0	8816.0	7744.0	12992.0	681.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Subdoligranulum
a6c38249aff7768283faf6cfbdeb05a8	11504.0	8592.0	4938.0	1616.0	8558.0	4295.0	717.0	1777.0	3502.0	1172.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Ruminococcus]_gnavus_group
913c627e07f3126d9af110ead52c4d40	5095.0	6966.0	6663.0	3338.0	11063.0	3033.0	2017.0	6460.0	1434.0	33.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__[Clostridium]_innocuum_group
6ba71f946a30d25920fe3b5dfe42d891	0.0	0.0	0.0	0.0	0.0	0.0	11076.0	23787.0	8770.0	135.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia
1e29da0911266b581965c27a1a3bdbdf	4727.0	7232.0	442.0	1779.0	3295.0	2098.0	6285.0	1016.0	11799.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnoclostridium
2feadce9884ddb7d7370b612b0ef81e8	13275.0	10152.0	14325.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
63d34c7a5e6bbca57626f09ac680df2d	2558.0	7723.0	7270.0	1155.0	4428.0	2388.0	2047.0	5816.0	2407.0	42.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
cea55e757edf41ec0362a0c79b8469c1	2417.0	2389.0	3994.0	2230.0	7552.0	2486.0	2865.0	5767.0	2117.0	27.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Parasutterella
