# Constructed from biom file
#OTU ID	1gKO.1	1gKO.2	1gKO.3	1gWT.1	1gWT.2	1gWT.3	2gKO.1	2gKO.2	2gKO.3	2gWT.1	2gWT.2	2gWT.3	F1-1	F1-10	F1-11	F1-12	F1-13	F1-14	F1-15	F1-16	F1-17	F1-18	F1-19	F1-2	F1-20	F1-21	F1-22	F1-3	F1-4	F1-5	F1-6	F1-7	F1-8	F1-9	F11-1	F11-10	F11-11	F11-2	F11-3	F11-4	F11-5	F11-6	F11-7	F11-8	F11-9	F2-1	F2-2	F2-3	F2-4	F2-5	F3-1	F3-10	F3-11	F3-12	F3-2	F3-4	F3-5	F3-6	F3-7	F3-8	F3-9	F4-1	F4-2	F4-3	F4-4	F4-5	F8-1	F8-10	F8-11	F8-12	F8-13	F8-14	F8-15	F8-16	F8-17	F8-18	F8-19	F8-2	F8-20	F8-21	F8-22	F8-24	F8-27	F8-28	F8-29	F8-3	F8-30	F8-31	F8-32	F8-33	F8-34	F8-35	F8-36	F8-37	F8-38	F8-39	F8-4	F8-40	F8-41	F8-5	F8-6	F8-7	F8-8	F8-9	h1-2-3.1	h1-2-3.2	h1-2-3.3	h3-4-5.1	h3-4-5.2	h3-4-5.3
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	11370.0	14120.0	14648.0	16632.0	19817.0	21706.0	12356.0	12773.0	12163.0	21894.0	24077.0	25454.0	10401.0	11460.0	10562.0	6795.0	6439.0	6312.0	13082.0	15919.0	8878.0	24531.0	27677.0	2753.0	27827.0	15806.0	4033.0	7914.0	2398.0	6595.0	2313.0	8869.0	8035.0	5953.0	29188.0	23751.0	26659.0	20550.0	26243.0	37378.0	15968.0	19062.0	15971.0	15538.0	1496.0	8957.0	10961.0	344.0	460.0	63.0	17605.0	15735.0	14058.0	10445.0	8824.0	16088.0	9737.0	11518.0	8445.0	319.0	10551.0	24109.0	16317.0	23844.0	22240.0	22298.0	2627.0	20110.0	26262.0	11206.0	3643.0	8550.0	12097.0	20342.0	18050.0	17521.0	11918.0	12243.0	12473.0	8386.0	17118.0	16749.0	17567.0	4943.0	20726.0	9359.0	16479.0	15509.0	8376.0	9739.0	19022.0	20081.0	21965.0	11552.0	26979.0	15593.0	15303.0	19681.0	15660.0	2569.0	9064.0	7727.0	143.0	20057.0	1056.0	1157.0	1058.0	527.0	654.0	461.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gnavus_group	22545.0	25836.0	17048.0	7547.0	9272.0	5996.0	18616.0	18212.0	9228.0	366.0	175.0	221.0	7133.0	27427.0	4496.0	12442.0	22199.0	7442.0	4318.0	2613.0	5971.0	2960.0	960.0	7051.0	1390.0	943.0	2053.0	3523.0	26054.0	524.0	2105.0	19991.0	23011.0	12533.0	225.0	326.0	187.0	249.0	244.0	199.0	278.0	209.0	484.0	369.0	11615.0	10749.0	5732.0	14621.0	319.0	9372.0	292.0	20382.0	17233.0	27241.0	25296.0	9605.0	2068.0	25952.0	34435.0	43961.0	31682.0	3552.0	6985.0	6857.0	8085.0	4026.0	10750.0	11992.0	27744.0	26670.0	12406.0	11512.0	22474.0	14722.0	8376.0	5703.0	13331.0	7020.0	18523.0	21521.0	14890.0	5379.0	175.0	747.0	315.0	8879.0	199.0	328.0	710.0	1968.0	179.0	374.0	113.0	200.0	254.0	1864.0	13698.0	88.0	117.0	3266.0	16351.0	12692.0	13986.0	7689.0	878.0	471.0	559.0	1417.0	1342.0	963.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	5919.0	6481.0	6714.0	31.0	31.0	30.0	16072.0	16928.0	14639.0	35.0	22.0	9.0	2132.0	12486.0	18793.0	13233.0	14613.0	32605.0	675.0	6722.0	7590.0	3551.0	24.0	5867.0	50.0	39.0	63.0	4116.0	54.0	87.0	284.0	24450.0	10453.0	39194.0	23.0	0.0	54.0	59.0	29.0	49.0	111.0	39.0	43.0	0.0	15041.0	2194.0	1425.0	3296.0	1071.0	13246.0	40.0	34.0	27.0	51.0	2810.0	20375.0	38880.0	6836.0	978.0	13.0	1555.0	1158.0	26515.0	18156.0	19808.0	23320.0	30563.0	16134.0	3625.0	21352.0	14737.0	14845.0	10692.0	18388.0	35.0	50.0	11.0	28879.0	0.0	35.0	44.0	32.0	19.0	56.0	34.0	38922.0	47.0	18.0	66.0	45.0	20.0	64.0	55.0	14.0	41.0	14.0	8123.0	26.0	0.0	2400.0	7217.0	19121.0	23147.0	14847.0	2263.0	2775.0	2672.0	896.0	1072.0	980.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella	8134.0	9827.0	7090.0	8264.0	10100.0	6324.0	4976.0	3549.0	2319.0	2042.0	1295.0	1045.0	1965.0	6491.0	986.0	8890.0	10948.0	3644.0	2698.0	1990.0	3261.0	1511.0	3323.0	394.0	2626.0	4522.0	4000.0	779.0	828.0	929.0	1973.0	886.0	5723.0	480.0	1145.0	5739.0	1345.0	1699.0	1578.0	2214.0	2293.0	1618.0	3910.0	2002.0	570.0	4084.0	39.0	2827.0	17547.0	2891.0	1952.0	3168.0	900.0	23043.0	20829.0	4524.0	1738.0	6522.0	28326.0	10652.0	3300.0	7172.0	2984.0	7713.0	3631.0	7010.0	1440.0	5087.0	10015.0	1827.0	5074.0	9391.0	7858.0	8769.0	9784.0	7060.0	9033.0	5601.0	559.0	6539.0	8052.0	8794.0	1827.0	4293.0	4790.0	5679.0	965.0	1960.0	11684.0	6630.0	3630.0	8678.0	3211.0	2961.0	4653.0	11311.0	10554.0	1853.0	9981.0	1701.0	8998.0	8508.0	944.0	5406.0	206.0	132.0	114.0	64.0	63.0	31.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	6280.0	7649.0	5719.0	9715.0	11851.0	8047.0	5680.0	5863.0	2991.0	17077.0	11161.0	10687.0	4785.0	5444.0	384.0	3389.0	2020.0	1481.0	8495.0	22216.0	20435.0	11914.0	9166.0	1982.0	17805.0	16548.0	24392.0	3119.0	2274.0	41521.0	49604.0	655.0	2478.0	205.0	3717.0	16101.0	6844.0	3785.0	8334.0	5362.0	11049.0	7103.0	17772.0	11248.0	680.0	3306.0	3350.0	3278.0	2247.0	1094.0	10538.0	3886.0	3693.0	3755.0	2268.0	2403.0	1978.0	2505.0	3647.0	10380.0	3639.0	2330.0	1026.0	2151.0	1346.0	1347.0	56.0	859.0	3460.0	198.0	96.0	1567.0	2333.0	601.0	3137.0	3508.0	2460.0	739.0	2018.0	4163.0	4288.0	2016.0	5140.0	3570.0	6946.0	1149.0	4622.0	7207.0	4830.0	4786.0	12881.0	6252.0	5577.0	7567.0	9875.0	2568.0	2711.0	1396.0	3346.0	789.0	3871.0	1824.0	538.0	1127.0	9318.0	6170.0	6328.0	15902.0	16483.0	11826.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium	5804.0	6914.0	5906.0	8176.0	9908.0	8177.0	6049.0	5537.0	4381.0	15633.0	10776.0	10713.0	8126.0	8777.0	2973.0	8858.0	6320.0	5938.0	8360.0	14161.0	12531.0	18585.0	13363.0	5754.0	7704.0	14042.0	9026.0	5048.0	5064.0	3226.0	2520.0	3200.0	5813.0	2766.0	11490.0	14301.0	10820.0	11592.0	13901.0	12141.0	10944.0	9327.0	7790.0	11963.0	1281.0	7493.0	8963.0	4478.0	8077.0	4611.0	19169.0	5738.0	6146.0	1468.0	2425.0	5510.0	3887.0	1994.0	2337.0	5537.0	6292.0	8199.0	4788.0	7864.0	7332.0	5702.0	2510.0	7571.0	9495.0	3591.0	2827.0	4726.0	4943.0	8320.0	10281.0	9832.0	10211.0	6330.0	4209.0	5718.0	10401.0	11776.0	17811.0	9796.0	10716.0	4166.0	10777.0	10650.0	11346.0	12615.0	15595.0	14160.0	12724.0	25457.0	25303.0	8977.0	11595.0	10286.0	12499.0	1139.0	3603.0	5191.0	1229.0	4588.0	2778.0	2313.0	2316.0	2011.0	2085.0	1723.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1	1633.0	1643.0	1811.0	604.0	807.0	923.0	4924.0	5280.0	4648.0	35.0	27.0	9.0	25.0	5430.0	6447.0	2008.0	2016.0	732.0	1460.0	2313.0	2011.0	1471.0	0.0	26.0	40.0	29.0	0.0	49.0	0.0	20.0	0.0	23694.0	7274.0	6776.0	0.0	31.0	34.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	34129.0	88.0	25.0	157.0	23.0	16.0	60.0	3154.0	4108.0	1330.0	2585.0	6002.0	18453.0	16660.0	4186.0	3920.0	4385.0	1644.0	5390.0	1678.0	5386.0	4183.0	35034.0	19777.0	12739.0	13547.0	47986.0	15801.0	7836.0	10672.0	7597.0	0.0	8722.0	23074.0	12.0	22.0	8457.0	70.0	0.0	25.0	18.0	5320.0	0.0	23.0	29.0	0.0	32.0	0.0	27.0	29.0	0.0	47.0	7355.0	0.0	12.0	1743.0	10105.0	23422.0	22746.0	2158.0	479.0	526.0	581.0	863.0	1017.0	1020.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	1533.0	1868.0	2079.0	355.0	443.0	476.0	3696.0	4059.0	3541.0	2126.0	2403.0	2702.0	388.0	4502.0	3206.0	7128.0	4406.0	7469.0	1530.0	4937.0	2451.0	3718.0	1908.0	323.0	2479.0	1290.0	2021.0	228.0	171.0	533.0	816.0	3206.0	3580.0	1818.0	3815.0	3367.0	3612.0	3892.0	1856.0	1915.0	3281.0	2178.0	2758.0	2577.0	270.0	1439.0	318.0	386.0	2515.0	887.0	3133.0	20.0	0.0	0.0	2784.0	8939.0	6214.0	7419.0	0.0	0.0	39.0	9865.0	5512.0	5757.0	4119.0	8699.0	629.0	7686.0	3281.0	482.0	1469.0	2538.0	3557.0	4479.0	4629.0	3477.0	2603.0	2701.0	1761.0	1473.0	1197.0	1664.0	2295.0	1614.0	3824.0	4204.0	2559.0	3548.0	2945.0	1923.0	1941.0	2864.0	1597.0	2041.0	2054.0	2554.0	2748.0	1395.0	1251.0	421.0	582.0	3668.0	664.0	6825.0	87.0	104.0	115.0	162.0	211.0	218.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Clostridium]_innocuum_group	3043.0	4007.0	3266.0	2953.0	3852.0	4521.0	2113.0	2190.0	2055.0	1765.0	2150.0	2398.0	3631.0	2692.0	727.0	770.0	2606.0	945.0	1437.0	4490.0	7499.0	912.0	1302.0	1322.0	4372.0	2426.0	2287.0	1582.0	2062.0	1727.0	371.0	64.0	9216.0	0.0	996.0	2731.0	702.0	787.0	629.0	650.0	1524.0	865.0	3531.0	2069.0	423.0	1547.0	1768.0	2616.0	1033.0	1095.0	1611.0	2348.0	1997.0	111.0	3218.0	1238.0	103.0	2666.0	4626.0	6504.0	6211.0	418.0	130.0	1275.0	766.0	455.0	11.0	169.0	3959.0	30.0	10.0	338.0	968.0	125.0	2902.0	2828.0	6923.0	73.0	1717.0	3288.0	4459.0	4062.0	2872.0	3079.0	2915.0	682.0	683.0	1620.0	1665.0	2556.0	4898.0	4890.0	2011.0	2591.0	2693.0	2027.0	1016.0	840.0	3303.0	145.0	3889.0	1298.0	131.0	234.0	330.0	500.0	457.0	527.0	612.0	513.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Clostridioides	348.0	348.0	448.0	367.0	552.0	514.0	1108.0	1100.0	984.0	878.0	971.0	1090.0	7.0	1028.0	878.0	2141.0	1713.0	721.0	2193.0	769.0	180.0	2120.0	889.0	11.0	1679.0	144.0	73.0	0.0	9.0	0.0	0.0	913.0	2634.0	61.0	4601.0	2228.0	1931.0	4778.0	3772.0	4399.0	2210.0	2345.0	3014.0	2741.0	947.0	0.0	13.0	0.0	0.0	0.0	3181.0	2400.0	2179.0	1644.0	835.0	4283.0	2908.0	1495.0	924.0	943.0	3418.0	4742.0	8263.0	5887.0	5971.0	4819.0	2572.0	2732.0	6338.0	4165.0	692.0	1080.0	2178.0	2489.0	4059.0	2664.0	5134.0	4552.0	475.0	80.0	2353.0	2128.0	1472.0	672.0	1717.0	5495.0	1982.0	3044.0	650.0	699.0	1345.0	959.0	1024.0	2506.0	2291.0	592.0	4626.0	545.0	2255.0	470.0	3104.0	3624.0	4119.0	2874.0	268.0	408.0	366.0	0.0	0.0	0.0
