# Constructed from biom file
#OTU ID	1gKO.1	1gKO.2	1gKO.3	1gWT.1	1gWT.2	1gWT.3	2gKO.1	2gKO.2	2gKO.3	2gWT.1	2gWT.2	2gWT.3	F1-1	F1-10	F1-11	F1-12	F1-13	F1-14	F1-15	F1-16	F1-17	F1-18	F1-19	F1-2	F1-20	F1-21	F1-22	F1-3	F1-4	F1-5	F1-6	F1-7	F1-8	F1-9	F11-1	F11-10	F11-11	F11-2	F11-3	F11-4	F11-5	F11-6	F11-7	F11-8	F11-9	F2-1	F2-2	F2-3	F2-4	F2-5	F3-1	F3-10	F3-11	F3-12	F3-2	F3-4	F3-5	F3-6	F3-7	F3-8	F3-9	F4-1	F4-2	F4-3	F4-4	F4-5	F8-1	F8-10	F8-11	F8-12	F8-13	F8-14	F8-15	F8-16	F8-17	F8-18	F8-19	F8-2	F8-20	F8-21	F8-22	F8-24	F8-27	F8-28	F8-29	F8-3	F8-30	F8-31	F8-32	F8-33	F8-34	F8-35	F8-36	F8-37	F8-38	F8-39	F8-4	F8-40	F8-41	F8-5	F8-6	F8-7	F8-8	F8-9	h1-2-3.1	h1-2-3.2	h1-2-3.3	h3-4-5.1	h3-4-5.2	h3-4-5.3
Unassigned;__	71.0	103.0	140.0	57.0	91.0	164.0	96.0	98.0	125.0	151.0	196.0	196.0	57.0	76.0	30.0	148.0	91.0	154.0	99.0	140.0	211.0	168.0	73.0	29.0	65.0	102.0	49.0	64.0	9.0	83.0	34.0	68.0	93.0	38.0	96.0	110.0	110.0	136.0	79.0	127.0	64.0	71.0	55.0	156.0	43.0	18.0	10.0	29.0	17.0	50.0	65.0	96.0	70.0	158.0	98.0	157.0	58.0	99.0	166.0	182.0	78.0	207.0	128.0	127.0	71.0	178.0	16.0	92.0	185.0	51.0	12.0	106.0	104.0	149.0	74.0	90.0	66.0	40.0	45.0	86.0	96.0	69.0	115.0	107.0	170.0	59.0	93.0	186.0	113.0	119.0	124.0	94.0	109.0	54.0	132.0	71.0	153.0	35.0	65.0	9.0	38.0	63.0	33.0	157.0	43.0	96.0	63.0	5.0	12.0	19.0
d__Bacteria;__	0.0	0.0	3.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0
d__Bacteria;p__Actinobacteriota	6461.0	8378.0	9273.0	1578.0	2000.0	2305.0	1609.0	1666.0	1612.0	2114.0	2471.0	2803.0	2274.0	906.0	5844.0	1027.0	1548.0	2047.0	1351.0	3328.0	4311.0	1784.0	1789.0	1353.0	2631.0	3083.0	2515.0	1454.0	1256.0	949.0	1712.0	6244.0	852.0	459.0	729.0	2900.0	473.0	716.0	1404.0	969.0	1729.0	824.0	1898.0	2152.0	16391.0	1243.0	455.0	2463.0	682.0	727.0	1798.0	1002.0	425.0	4471.0	9259.0	1063.0	623.0	11601.0	468.0	1341.0	1433.0	1267.0	338.0	1601.0	923.0	1663.0	114.0	128.0	808.0	1494.0	281.0	1297.0	1247.0	921.0	865.0	759.0	1537.0	378.0	783.0	726.0	2045.0	1104.0	981.0	515.0	1313.0	738.0	787.0	1448.0	552.0	772.0	2651.0	1554.0	1505.0	1925.0	2299.0	888.0	2289.0	440.0	1409.0	14.0	1465.0	973.0	226.0	252.0	4550.0	6128.0	6106.0	11881.0	14939.0	14382.0
d__Bacteria;p__Bacteroidota	1533.0	1899.0	2098.0	620.0	498.0	530.0	3713.0	4059.0	3584.0	2183.0	2888.0	2759.0	50354.0	4561.0	3218.0	7128.0	4406.0	7526.0	1530.0	4937.0	2451.0	3718.0	2011.0	43381.0	3125.0	1305.0	2030.0	46380.0	35776.0	49107.0	30428.0	3206.0	3580.0	1875.0	4204.0	3849.0	4051.0	4513.0	1983.0	2000.0	3671.0	2226.0	3268.0	3049.0	292.0	41114.0	42956.0	33287.0	51465.0	31029.0	3202.0	40.0	0.0	0.0	2784.0	8991.0	6214.0	7419.0	39.0	0.0	82.0	9892.0	5567.0	5788.0	4164.0	8699.0	656.0	7784.0	3308.0	482.0	1469.0	2602.0	3557.0	4526.0	4645.0	3785.0	2633.0	2701.0	2419.0	2031.0	1236.0	1674.0	2398.0	1732.0	3961.0	4204.0	3144.0	4209.0	3085.0	1951.0	2009.0	3270.0	1833.0	2071.0	2118.0	2689.0	2833.0	1522.0	1510.0	421.0	611.0	3668.0	685.0	6831.0	22307.0	25931.0	26113.0	1898.0	2159.0	1830.0
d__Bacteria;p__Campilobacterota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	8.0	13.0	0.0	0.0	0.0
d__Bacteria;p__Cyanobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0
d__Bacteria;p__Desulfobacterota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	44.0	28.0
d__Bacteria;p__Firmicutes	64435.0	76675.0	60703.0	59473.0	74730.0	63335.0	68061.0	66232.0	46318.0	60089.0	46361.0	47578.0	53347.0	76848.0	22631.0	70576.0	74384.0	50828.0	60064.0	79784.0	84825.0	70291.0	44322.0	32598.0	59963.0	70678.0	74985.0	40372.0	49561.0	59649.0	62883.0	60682.0	83271.0	48239.0	56669.0	69102.0	47527.0	64311.0	59013.0	52427.0	57308.0	38644.0	63300.0	67239.0	53701.0	36144.0	31142.0	53667.0	56515.0	38640.0	67189.0	82000.0	79296.0	85730.0	67204.0	60088.0	65852.0	67483.0	88950.0	110197.0	108094.0	54303.0	49975.0	53936.0	55572.0	52034.0	67870.0	62953.0	96357.0	62770.0	75831.0	54386.0	66677.0	65846.0	65348.0	50372.0	71747.0	59702.0	46937.0	51855.0	76691.0	53703.0	73251.0	58724.0	70501.0	46090.0	54499.0	58474.0	58120.0	46645.0	67763.0	57368.0	48058.0	62633.0	83391.0	48741.0	80137.0	41949.0	54254.0	13910.0	77667.0	71112.0	60619.0	40449.0	71546.0	68137.0	68024.0	82451.0	86306.0	78838.0
d__Bacteria;p__Fusobacteriota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2055.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3545.0	0.0	0.0	0.0	2925.0	87.0	1782.0	290.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7651.0	3052.0	2820.0	1372.0	3803.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	332.0	404.0	378.0	251.0	280.0	238.0
d__Bacteria;p__Patescibacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	8.0	21.0	17.0	25.0
