Exp	Mouse ID	SampleID	Total 	R+C	Colon	Ileum	Cecum	Proximal Colon	Distal Colon	Rectum	Total	Peak Segment Score	Sex	Background	Bacteria/Colonization	Group	Mouse ID
F1	7	F1.7	9	5.75	9	0	2.75	0.25	3	3	9	3	F	129.IL10-/-	"HM1 (hFMT Donors 1,2,3)"	HM1->KO	7
F1	8	F1.8	10.25	6.5	10.25	0	3.75	0.5	3.25	2.75	10.25	3.75	F	129.IL10-/-	"HM1 (hFMT Donors 1,2,3)"	HM1->KO	8
F1	9	F1.9	9	6.5	9	0	3.5	0.5	2	3	9	3.5	F	129.IL10-/-	"HM1 (hFMT Donors 1,2,3)"	HM1->KO	9
F1	10	F1.10	8.5	5	8.5	0	3	1.5	2	2	8.5	3	F	129.IL10-/-	"HM1 (hFMT Donors 1,2,3)"	HM1->KO	10
F1	11	F1.11	8.5	5.5	8.5	0	3.5	1	2	2	8.5	3.5	F	129.IL10-/-	"HM1 (hFMT Donors 1,2,3)"	HM1->KO	11
F1	12	F1.12	5.75	4.25	5.75	0	3.5	0.75	0.75	0.75	5.75	3.5	M	129.IL10-/-	"HM1 (hFMT Donors 1,2,3)"	HM1->KO	12
F1	13	F1.13	8	6.5	8	0	3.75	0.5	1	2.75	8	3.75	M	129.IL10-/-	"HM1 (hFMT Donors 1,2,3)"	HM1->KO	13
F1	14	F1.14	9.5	6.5	9.5	0	3.75	1.25	1.75	2.75	9.5	3.75	M	129.IL10-/-	"HM1 (hFMT Donors 1,2,3)"	HM1->KO	14
F1	15	F1.15	5.75	3	5.75	0	2	1.75	1	1	5.75	2	M	129.IL10-/-	"HM1 (hFMT Donors 1,2,3)"	HM1->KO	15
F3	7	F3.7	2.45	2.1	2.45	0	1.75	0.1	0.25	0.35	2.45	1.75	M	129.IL10-/-	"HM1 (hFMT Donors 1,2,3)"	HM1->KO	7
F3	8	F3.8	3.75	3.25	3.75	0	1.75	0.25	0.25	1.5	3.75	1.75	M	129.IL10-/-	"HM1 (hFMT Donors 1,2,3)"	HM1->KO	8
F3	9	F3.9	3.25	2.5	3.25	0	1	0.5	0.25	1.5	3.25	1.5	F	129.IL10-/-	"HM1 (hFMT Donors 1,2,3)"	HM1->KO	9
F3	10	F3.10	2.1	1.6	2.1	0	1.5	0.25	0.25	0.1	2.1	1.5	M	129.IL10-/-	"HM1 (hFMT Donors 1,2,3)"	HM1->KO	10
F3	11	F3.11	4.2	3.75	4.2	0	2	0.1	0.35	1.75	4.2	2	M	129.IL10-/-	"HM1 (hFMT Donors 1,2,3)"	HM1->KO	11
