SampleID	UniversalCageNumber	Background	FMTGroupFMTsourcegtRecipientbackground	ExperimentNumber	Sex	Agewk	SampleType
F8-1	F8-cage-1	129.IL10KO	1gKOgtKO	8	F	14.7	Fecalpellet
F8-2	F8-cage-1	129.IL10KO	1gKOgtKO	8	F	14.7	Fecalpellet
F8-3	F8-cage-2	129.IL10KO	1gKOgtKO	8	M	14.7	Fecalpellet
F8-4	F8-cage-2	129.IL10KO	1gKOgtKO	8	M	14.7	Fecalpellet
F8-5	F8-cage-3	129.IL10KO	1gKOgtKO	8	F	14.7	Fecalpellet
F8-6	F8-cage-3	129.IL10KO	1gKOgtKO	8	F	14.7	Fecalpellet
F8-7	F8-cage-4	129.IL10KO	1gKOgtKO	8	M	14.7	Fecalpellet
F8-8	F8-cage-4	129.IL10KO	1gKOgtKO	8	M	14.7	Fecalpellet
F8-9	F8-cage-5	129.IL10KO	2gKOgtKO	8	F	14.7	Fecalpellet
F8-10	F8-cage-5	129.IL10KO	2gKOgtKO	8	F	14.7	Fecalpellet
F8-11	F8-cage-6	129.IL10KO	2gKOgtKO	8	M	14.7	Fecalpellet
F8-12	F8-cage-6	129.IL10KO	2gKOgtKO	8	M	14.7	Fecalpellet
F8-13	F8-cage-7	129.IL10KO	2gKOgtKO	8	M	13.9	Fecalpellet
F8-14	F8-cage-7	129.IL10KO	2gKOgtKO	8	M	13.9	Fecalpellet
F8-15	F8-cage-8	129.IL10KO	2gKOgtKO	8	F	14.6	Fecalpellet
F8-16	F8-cage-8	129.IL10KO	2gKOgtKO	8	F	14.6	Fecalpellet
F8-17	F8-cage-9	129.IL10KO	1gWTgtKO	8	M	14.7	Fecalpellet
F8-18	F8-cage-10	129.IL10KO	1gWTgtKO	8	M	13.6	Fecalpellet
F8-19	F8-cage-10	129.IL10KO	1gWTgtKO	8	M	13.6	Fecalpellet
F8-20	F8-cage-11	129.IL10KO	1gWTgtKO	8	F	13.9	Fecalpellet
F8-21	F8-cage-11	129.IL10KO	1gWTgtKO	8	F	13.9	Fecalpellet
F8-22	F8-cage-12	129.IL10KO	1gWTgtKO	8	F	14.7	Fecalpellet
F8-24	F8-cage-13	129.IL10KO	1gWTgtKO	8	M	14.6	Fecalpellet
F8-27	F8-cage-14	129.WT	1gWTgtWT	8	M	15.7	Fecalpellet
F8-28	F8-cage-15	129.WT	1gWTgtWT	8	F	15.7	Fecalpellet
F8-29	F8-cage-15	129.WT	1gWTgtWT	8	F	15.7	Fecalpellet
F8-30	F8-cage-16	129.WT	1gWTgtWT	8	M	16.6	Fecalpellet
F8-31	F8-cage-16	129.WT	1gWTgtWT	8	M	16.6	Fecalpellet
F8-32	F8-cage-17	129.WT	1gWTgtWT	8	M	15.4	Fecalpellet
F8-33	F8-cage-17	129.WT	1gWTgtWT	8	M	15.4	Fecalpellet
F8-34	F8-cage-18	129.WT	2gWTgtWT	8	F	14.7	Fecalpellet
F8-35	F8-cage-18	129.WT	2gWTgtWT	8	F	14.7	Fecalpellet
